epoch,train_loss,train_rec_loss,train_comp_loss,val_total_loss,val_rec_loss,val_comp_loss,val_bpr_loss,compat_acc,eval_users,AUC,avg_val_outfits_per_user,precision_ceiling_perfect@10,Precision@10,HR@10,Recall@10,NDCG@10,MRR@10
1,0.7236809533834457,0.5944968229532241,0.6459206420183182,0.7191626732165997,0.6058485095317547,0.5665708184242249,0.6058485095317547,0.6754717230796814,10167,0.6812870140089083,1.2544506737484018,0.12544506737484018,0.05684075931936657,0.50831120291138,0.4585321558543748,0.2434671182708437,0.18921011176838856
2,0.5837714111804962,0.5069566634297371,0.3840737415850162,0.6956154658244207,0.5500444724009588,0.7278549671173096,0.5500444724009588,0.7192452549934387,10167,0.6979100591549692,1.2544506737484018,0.12544506737484018,0.06928297432871053,0.5980131798957411,0.5528397195408113,0.306480836248432,0.24232585660735556
3,0.5051480978727341,0.47510589718818663,0.15021100692451,0.7636531683114859,0.5304517837671133,1.1660069227218628,0.5304517837671133,0.7139622569084167,10167,0.7111691185769085,1.2544506737484018,0.12544506737484018,0.07310907839087243,0.6282089111832398,0.5835853157039347,0.3255383192816374,0.25689122604879466
4,0.47377409160137174,0.46070090025663374,0.06536595579236745,0.8847696029222929,0.524299117235037,1.8023524284362793,0.524299117235037,0.6913207769393921,10167,0.7182609586570932,1.2544506737484018,0.12544506737484018,0.0747811547162388,0.6407003049080358,0.5973790086507702,0.3386451601426685,0.2696268740603353
5,0.46021113634109495,0.4523187193274498,0.03946208680048585,0.8579606390916384,0.5090258694612063,1.7446738481521606,0.5090258694612063,0.699622631072998,10167,0.7277307793187109,1.2544506737484018,0.12544506737484018,0.07709255434248057,0.6594865742106816,0.6157549869559312,0.34618811391855514,0.27300400767500205
6,0.4556358605623245,0.4481373807787895,0.03749240215867758,0.9318019899038168,0.5165830644277426,2.076094627380371,0.5165830644277426,0.701886773109436,10167,0.7166736851719148,1.2544506737484018,0.12544506737484018,0.07652208124323792,0.6521097668928888,0.6096123312116231,0.3498327288755984,0.280341159774621
7,0.44913009703159334,0.44435770899057386,0.023861936423927546,0.9177056275881253,0.49205956092247594,2.128230333328247,0.49205956092247594,0.7056604027748108,10167,0.747324406225557,1.2544506737484018,0.12544506737484018,0.08039736402085178,0.687026654863775,0.6431834787618205,0.37075911229160985,0.2970188331061745
8,0.4458887243270874,0.4418386778235435,0.020250226072967052,0.9430400664989764,0.49758694722102237,2.2272655963897705,0.49758694722102237,0.704150915145874,10167,0.7439281124272272,1.2544506737484018,0.12544506737484018,0.08028917084685748,0.6841742893675617,0.641886799964404,0.3695436152470241,0.2961187064904976
9,0.4426325398683548,0.4390963488817215,0.017680955743417145,0.9810890051034781,0.49655474149263823,2.422671318054199,0.49655474149263823,0.7094339728355408,10167,0.745106998833762,1.2544506737484018,0.12544506737484018,0.0801809776728632,0.68387921707485,0.6415384507299526,0.3688117062376269,0.29501109253248525
10,0.4417742106318474,0.4384308907389641,0.016716603259555995,0.9783746985288767,0.5124456194730905,2.3296453952789307,0.5124456194730905,0.703396201133728,10167,0.7298933032640617,1.2544506737484018,0.12544506737484018,0.07785974230353103,0.6626340119996066,0.6218071304453717,0.35855398280473916,0.2872817596925003
