epoch,train_loss,train_rec_loss,train_comp_loss,val_total_loss,val_rec_loss,val_comp_loss,val_bpr_loss,compat_acc,eval_users,AUC,Precision@10,HR@10,Recall@10,NDCG@10,MRR@10
1,0.5856261267798588,0.523118292576416,0.6250783391460973,0.4858895073334376,0.4290863523880641,0.5680315494537354,0.4290863523880641,0.6679245233535767,5543,0.7932592811268618,0.055439292801731904,0.54338805700884,0.533615972096939,0.3276362302166625,0.2667457740207154
2,0.43031895541409565,0.37811616260049624,0.5220279228844832,0.4363879203796387,0.3854885995388031,0.5089932084083557,0.3854885995388031,0.7245283126831055,5543,0.8175664881419888,0.06058091286307054,0.5930001804077214,0.5825966684707439,0.3611485977117759,0.2954936012531178
3,0.37864207604383054,0.3368063565130276,0.41835720226628137,0.4532837678988775,0.40372570355733234,0.49558064341545105,0.40372570355733234,0.7577358484268188,5543,0.833270008400804,0.06326898791268266,0.6187984845751399,0.6082145649167118,0.3700741021906452,0.29978830728875827
4,0.33176508782193526,0.2988138920278801,0.32951196082888196,0.4214752023418744,0.3724716876943906,0.49003514647483826,0.3724716876943906,0.7773584723472595,5543,0.8397768350411322,0.06413494497564495,0.625653977990258,0.6152955679836429,0.3827295540838351,0.3135937218112935
5,0.2800215536539775,0.2542034728280248,0.2581808190251237,0.41438891490300495,0.362467219432195,0.5192169547080994,0.362467219432195,0.7796226143836975,5543,0.8464264085317666,0.06384629262132419,0.6238499007757532,0.6135215587227133,0.38715114102032006,0.32065904658814637
6,0.25048851382627363,0.23000897539344653,0.20479538209637882,0.4349364871780078,0.3782653684417407,0.5667111873626709,0.3782653684417407,0.7781131863594055,5543,0.8549546216874379,0.06518130976005772,0.6366588489987371,0.626631186481448,0.3922956787963179,0.32309863147857015
7,0.22798286890405917,0.21204028610090853,0.15942583105112487,0.4260857408245404,0.36749790360530216,0.5858783721923828,0.36749790360530216,0.7894339561462402,5543,0.8494199922127038,0.06429731192495039,0.6289013169763666,0.6185729749233267,0.39251120256270544,0.3259500041522412
8,0.21680348678307387,0.204341239931825,0.12462246729807706,0.4337642535567284,0.36612650007009506,0.676377534866333,0.36612650007009506,0.7811321020126343,5543,0.8608344251948797,0.06608334836731013,0.6462204582356125,0.6355914366468217,0.39854530645999225,0.3286274838277364
9,0.20730829809993373,0.19703822258022913,0.10270075959518618,0.4426598017414411,0.37425584842761356,0.6840395331382751,0.37425584842761356,0.7894339561462402,5543,0.8588762117537149,0.06615551145589031,0.6464008659570629,0.6360875578808106,0.3994469783575704,0.3299734542924151
10,0.19761957497323662,0.1893469119518339,0.08272663251156324,0.45190405795971555,0.37573395917812985,0.7617009878158569,0.37573395917812985,0.7803773880004883,5543,0.8613672961499047,0.06608334836731011,0.645679235071261,0.6350351795056829,0.39833034794805927,0.32851981191779134
11,0.1895732860601946,0.18222525696134778,0.07348029006945404,0.43828172485033673,0.36034677426020306,0.7793495059013367,0.36034677426020306,0.7879245281219482,5543,0.8625683438510428,0.06640808226592097,0.6474833122857658,0.6379217030488905,0.4014175111334123,0.33137483570011084
12,0.18137594755525632,0.17501459589088542,0.0636135198766702,0.43235542128483456,0.34811966369549435,0.8423575758934021,0.34811966369549435,0.7894339561462402,5543,0.8619422318682647,0.06550604365866859,0.6393649648204943,0.6295327440014432,0.3972155392172484,0.32883939131007506
13,0.17422890367749505,0.16835642415652716,0.05872479811442056,0.4380013952652614,0.35824009279410046,0.7976130247116089,0.35824009279410046,0.8052830100059509,5543,0.8641341553122178,0.06642612303806604,0.6478441277286668,0.6388087076793554,0.3999584989762134,0.329342957942092
14,0.16451648396279844,0.15945704576727576,0.050594378640210574,0.4671907310684522,0.37972308446963626,0.8746764659881592,0.37972308446963626,0.796981155872345,5543,0.8624423014193896,0.06559624751939383,0.6420710806422515,0.6327500150339768,0.39354187794334067,0.3226284259569484
15,0.15738713390107723,0.15304262125413323,0.04344513144196393,0.4605380689104398,0.38163768996795017,0.7890037894248962,0.38163768996795017,0.7947169542312622,5543,0.8634664341411592,0.0662998376330507,0.6465812736785135,0.6370948343255759,0.3951120263073151,0.3238296407022729
16,0.15276311964846917,0.14878582599929777,0.0397729338659589,0.4545837740103404,0.36157963673273724,0.9300413727760315,0.36157963673273724,0.795471727848053,5543,0.864198239536504,0.06561428829153887,0.6400865957062962,0.6308256660051716,0.3895391653326917,0.31794634445274894
17,0.14694423290863962,0.14315957119811473,0.037846615250809075,0.47267893999814986,0.3795306608080864,0.9314827919006348,0.3795306608080864,0.7886792421340942,5543,0.8650645914311799,0.06620963377232546,0.6451380119069097,0.6367640868362499,0.3913848706706253,0.3191295184259283
18,0.14092977279345895,0.13732971411838404,0.03600058512606285,0.47871083170175555,0.3813845291733742,0.9732630252838135,0.3813845291733742,0.7916980981826782,5543,0.8640957351493161,0.06601118527872993,0.6445967887425582,0.6354711648325215,0.3977552296130272,0.3276679581568631
19,0.13636350132820366,0.1330316200327243,0.033318814718972745,0.4766720920801163,0.38330964744091034,0.9336244463920593,0.38330964744091034,0.799245297908783,5543,0.8641423556631928,0.06590294064585964,0.6424318960851525,0.6337422575019543,0.38677677318133946,0.31359479566677834
20,0.13311186222778018,0.13013061933580475,0.029812427262246345,0.4865504557887713,0.39545993755261105,0.9109051823616028,0.39545993755261105,0.8075471520423889,5543,0.8608388290870701,0.06451380119069096,0.629442540140718,0.6208731733718204,0.3797454001809959,0.30871627019922165
21,0.12738135063175587,0.12442122245543853,0.029601280253364125,0.4881660282611847,0.39152753353118896,0.9663849472999573,0.39152753353118896,0.796226441860199,5543,0.8613993382620478,0.064910698177882,0.6326898791268266,0.6238649347525407,0.37732314564996666,0.3043544124005968
22,0.124417036377911,0.12166690425988336,0.027501321721838435,0.4958718240261078,0.4057656526565552,0.9010617136955261,0.4057656526565552,0.8075471520423889,5543,0.8645772779815718,0.06597510373443984,0.6435143424138553,0.6338625293162548,0.3884620438955707,0.3160149795681097
23,0.12235048452663001,0.11962202713221705,0.027284573139992056,0.49967094759146374,0.40002405146757763,0.9964689612388611,0.40002405146757763,0.796226441860199,5543,0.8656846290799024,0.06593902219014974,0.6435143424138553,0.6340128690841301,0.38900865748495345,0.31643313889390023
24,0.11881085278441728,0.11618087965880197,0.026299727719588953,0.5062723095218341,0.40857784698406857,0.976944625377655,0.40857784698406857,0.8075471520423889,5543,0.8644996783640118,0.06559624751939383,0.6400865957062962,0.630585122376571,0.37634867123534826,0.3011263312228494
25,0.1128429875828096,0.11044776308378984,0.023952244116313394,0.5093416482210159,0.4125378280878067,0.9680382013320923,0.4125378280878067,0.801509439945221,5543,0.8644358978564283,0.06552408443081363,0.6395453725419448,0.6303145107943953,0.3841802086988982,0.3114898957357915
26,0.11268013187310769,0.11025156687928717,0.024285647624258427,0.49976362337668734,0.39619055142005283,1.0357307195663452,0.39619055142005283,0.796981155872345,5543,0.8663679916611542,0.06655240844308136,0.6480245354501173,0.6393649648204943,0.3935613846800144,0.32067694417956005
27,0.10868700406624882,0.1064998142191492,0.021871897387872184,0.4904527112841606,0.3940879926085472,0.963647186756134,0.3940879926085472,0.8045282959938049,5543,0.8668378414003526,0.06678693848096698,0.6507306512718745,0.6416350953154127,0.39273896305705297,0.3191779851034767
28,0.10630289598117841,0.10393946944420034,0.023634265579020663,0.48513132830460864,0.3825282504161199,1.0260307788848877,0.3825282504161199,0.800000011920929,5543,0.8641458484052745,0.06534367670936315,0.6377412953274401,0.628299957904865,0.3790214583543354,0.3049792531120332
29,0.10416472788555507,0.10201061953532013,0.02154108165611517,0.5045541788140933,0.3993626857797305,1.051914930343628,0.3993626857797305,0.801509439945221,5543,0.865670050678169,0.06667869384809669,0.6485657586144687,0.6398761200312706,0.38957432948112175,0.31511881137084097
30,0.10216427673195952,0.10015082109867214,0.020134556435442444,0.5257495626807213,0.42169084399938583,1.0405871868133545,0.42169084399938583,0.8030188679695129,5543,0.8661213736984981,0.06608334836731013,0.6442359732996572,0.6350201455288954,0.3818595541925805,0.30660256465325925
